index,pdi,ls,ta,sa,rg,rgn,ze,sm
216,1.0,12,20,6,107.15343136920274,18.72102411293375,32.906,937.544451850509
217,1.0,12,20,7,103.23611068677424,18.036619945780632,33.594,1052.29663768978
218,1.0,12,20,8,97.7254803088564,17.073844952350825,32.625,1007.14680917685
219,1.0,12,20,9,106.72982657039432,18.64701513765864,33.906,1136.00970083602
220,1.0,12,30,0,101.45884857420464,17.726110366766047,31.156,814.712553460431
221,1.0,12,30,1,101.91910653449548,17.806523100755744,33.375,800.426283748654
222,1.0,12,30,2,94.86437705822756,16.573974978424726,32.5,832.125800022212
223,1.0,12,30,3,101.5403146297438,17.740343489967483,32.188,894.697262994787
224,1.0,12,30,4,98.83712400777564,17.268062797048234,31.281,842.96494077357
225,1.0,12,30,5,105.85986466227644,18.495022078256813,32.125,873.12383042194
226,1.0,12,30,6,104.65146232891672,18.28389930848749,31.438,909.701636919795
227,1.0,12,30,7,101.18409732999709,17.67810794069212,31.844,924.936460273414
228,1.0,12,30,8,94.8600010203097,16.573210430707192,31.312,906.819462428226
229,1.0,12,30,9,104.20625620358108,18.206116315435995,31.969,972.425416024871
230,1.0,12,40,0,97.25552602624788,16.99173815143676,27.688,720.44502670869
231,1.0,12,40,1,99.89782654942384,17.453380594202358,29.656,660.378137501006
232,1.0,12,40,2,91.89901662508308,16.05588999072929,29.031,721.207497470582
233,1.0,12,40,3,98.59926561620316,17.22650600668518,29.344,847.355801352322
234,1.0,12,40,4,96.84932597052112,16.920769999126883,29.562,731.291007622483
235,1.0,12,40,5,102.68865603836218,17.940972876501565,29.562,792.699793191519
236,1.0,12,40,6,102.17372024269226,17.851007251283892,30.0,811.228532608986
237,1.0,12,40,7,99.21198671215004,17.333555928140346,29.375,873.929851181053
238,1.0,12,40,8,93.02467586567984,16.25255652316677,28.281,856.839671314091
239,1.0,12,40,9,101.80238183146304,17.786129857607833,29.344,893.681153134874
240,1.0,12,50,0,94.047896538136,16.43132577616345,27.406,640.969872243039
241,1.0,12,50,1,97.3970722666096,17.01646802284682,27.812,634.794622046658
242,1.0,12,50,2,89.0525003545038,15.558568541864432,28.312,678.354490185589
243,1.0,12,50,3,97.31027550735804,17.001303560056318,27.625,767.661160025808
244,1.0,12,50,4,94.07980267716512,16.43690017159328,26.594,674.273189667199
245,1.0,12,50,5,99.16846505558924,17.325952158746325,26.5,712.479064661274
246,1.0,12,50,6,99.31434751874215,17.351439621680946,27.344,744.241385110705
247,1.0,12,50,7,96.7477003408912,16.90301475005568,27.0,760.371199009583
248,1.0,12,50,8,91.80978590443635,16.04030028490749,27.375,760.9653266034
249,1.0,12,50,9,97.945400114862,17.112267650891923,26.562,808.926854091438
250,1.0,16,10,0,126.77064967646868,22.14839374791648,36.375,1122.30145106539
251,1.0,16,10,1,125.94048395580684,22.00335357257489,36.781,1405.66492443822
252,1.0,16,10,2,130.81705101992387,22.85534989624944,34.719,1239.85247698802
253,1.0,16,10,3,120.85333191933027,21.114565460760776,35.094,1265.03683034976
254,1.0,16,10,4,118.93082778976004,20.77868031264181,36.219,1198.08259949156
255,1.0,16,10,5,117.7221499643153,20.567509411012413,34.875,1254.08275443824
256,1.0,16,10,6,123.1021728542536,21.507465667790004,34.781,1229.97702627757
257,1.0,16,10,7,122.10989538299776,21.33410257312535,35.094,1346.38326412728
258,1.0,16,10,8,123.13962635272138,21.514009255232512,36.562,1065.60247241228
259,1.0,16,10,9,123.5747821341421,21.59003632942662,37.219,1278.82130455217
260,1.0,16,20,0,123.34740348525608,21.550310479174616,33.25,943.284986291375
261,1.0,16,20,1,122.0153926308986,21.31759177848088,33.312,1093.36678950527
262,1.0,16,20,2,127.7549996205164,22.320371805946063,33.031,1075.23714814821
263,1.0,16,20,3,117.77852863919549,20.577359459848,31.469,1057.84273104548
264,1.0,16,20,4,114.61134215422442,20.02401297530095,31.469,1016.04074556946
265,1.0,16,20,5,114.97206205342776,20.087035184153343,32.562,1124.06237028009
266,1.0,16,20,6,119.4491297451694,20.86923404742205,32.938,1001.3907228611
267,1.0,16,20,7,119.37370836112837,20.85605700277476,31.438,1138.56643566367
268,1.0,16,20,8,119.9423907379756,20.95541281764246,32.5,908.585167381908
269,1.0,16,20,9,119.2652152621698,20.83710192223523,33.375,1102.84199375251
270,1.0,16,30,0,120.2582892723899,21.01060418206675,29.812,814.342441896377
271,1.0,16,30,1,118.94219845298026,20.780666907542287,28.562,943.660247987865
272,1.0,16,30,2,124.6586454402524,21.77940059736967,28.125,935.193026497544
273,1.0,16,30,3,114.40852931307944,19.988579074202576,29.625,875.166651852362
274,1.0,16,30,4,111.21385215274002,19.43042963010608,29.969,891.642193758205
275,1.0,16,30,5,110.04891023426757,19.226899930056184,30.188,951.818243398447
276,1.0,16,30,6,115.2014624106054,20.12711425174233,30.5,934.583047156935
277,1.0,16,30,7,114.90720612399316,20.07570405454511,29.812,943.365158858389
278,1.0,16,30,8,116.5261554307628,20.35855443667821,28.5,808.420470128031
